NAME,B25064_001E,B25070_007E,B25070_008E,B25070_009E,B25070_010E,B25070_001E,B25070_011E,B25002_003E,B25002_001E,B08013_001E,B08012_001E,B17001_002E,B17001_001E,B23025_002E,B23025_001E,metropolitan statistical area/micropolitan statistical area,metropolitan division,geo_level,geo_code,parent_cbsa,year
"Big Stone Gap, VA Micro Area",628,382,208,360,1365,5792,1377,3308,19861,289810,13672,8898,39266,16086,34856,13720,,msa,13720,,2019
"Billings, MT Metro Area",884,1888,1491,1849,4498,22770,1339,7950,82620,1678300,85576,16890,175079,94196,142180,13740,,msa,13740,,2019
"Binghamton, NY Metro Area",772,2488,1805,2669,8636,31981,2863,14894,113473,2086770,103484,36844,231734,116589,200034,13780,,msa,13780,,2019
"Birmingham-Hoover, AL Metro Area",896,10250,6862,10397,28086,129884,13665,67303,484865,12531490,473061,149424,1062779,528932,863519,13820,,msa,13820,,2019
"Bismarck, ND Metro Area",867,1026,1131,1021,3222,16443,1190,4758,58568,1212175,66324,9779,123701,71970,101328,13900,,msa,13900,,2019
"Blackfoot, ID Micro Area",662,282,80,252,447,3479,381,1756,16745,430690,18453,5039,45080,20744,33201,13940,,msa,13940,,2019
"Blacksburg-Christiansburg, VA Metro Area",875,1817,1072,1288,6127,24790,3266,9742,72443,1480090,72508,32791,152984,81170,143344,13980,,msa,13980,,2019
"Bloomington, IL Metro Area",845,1279,1081,1334,5109,23294,2856,6539,72384,1498955,83601,24575,164486,91719,139526,14010,,msa,14010,,2019
"Bloomington, IN Metro Area",905,2187,1478,2193,8432,26344,2241,7383,71783,1624380,77652,33860,151124,88067,142861,14020,,msa,14020,,2019
"Bloomsburg-Berwick, PA Metro Area",748,875,687,647,1730,10545,1482,4599,38375,810875,37071,10986,78546,40813,70553,14100,,msa,14100,,2019
"Bluefield, WV-VA Micro Area",662,806,582,953,2341,12338,2274,9962,54076,885150,37462,19158,104074,42548,89105,14140,,msa,14140,,2019
"Blytheville, AR Micro Area",632,498,332,732,1163,7152,777,4170,20559,302370,16545,10017,41186,19129,32523,14180,,msa,14180,,2019
"Bogalusa, LA Micro Area",655,731,274,338,911,5738,1556,4164,21777,520120,16600,10840,44436,19289,36677,14220,,msa,14220,,2019
"Boise City, ID Metro Area",958,6449,5113,6979,15121,78903,6938,15228,275597,6973035,313403,82770,697424,357682,551501,14260,,msa,14260,,2019
"Bonham, TX Micro Area",788,156,162,214,521,3336,429,2011,14464,412415,12994,3796,31577,14551,28041,14300,,msa,14300,,2019
"Boone, NC Micro Area",870,410,454,451,3215,8419,884,12674,33751,475495,23156,12415,48976,27868,48803,14380,,msa,14380,,2019
"Borger, TX Micro Area",758,90,136,34,165,1363,228,3714,10643,137245,8482,3083,21180,9409,16623,14420,,msa,14420,,2019
"Boston-Cambridge-Newton, MA-NH Metro Area",1475,66579,42116,55112,161577,701035,36676,127239,1958456,77621175,2442362,437149,4676008,2757573,3983774,14460,,msa,14460,,2019
"Boulder, CO Metro Area",1495,4253,2906,4161,14906,48142,2032,8681,136096,3522345,150498,36358,310784,183623,267744,14500,,msa,14500,,2019
"Bowling Green, KY Metro Area",761,1601,1389,1621,4905,24163,2241,9220,74892,1713875,77458,28740,165992,87595,139645,14540,,msa,14540,,2019
"Bozeman, MT Micro Area",1074,1626,1190,1118,4119,16996,893,5701,49478,1019200,55698,11775,104238,64229,88657,14580,,msa,14580,,2019
"Bradford, PA Micro Area",657,218,251,313,832,4448,559,4128,21275,388780,17289,6172,38319,19391,34282,14620,,msa,14620,,2019
"Brainerd, MN Micro Area",783,1004,622,696,1451,8728,828,27798,67782,896970,40141,10719,92058,45199,75576,14660,,msa,14660,,2019
"Branson, MO Micro Area",816,543,609,410,1490,8532,818,8561,30833,521270,22925,7839,53350,26561,44803,14700,,msa,14700,,2019
"Breckenridge, CO Micro Area",1393,464,208,444,501,3671,263,20579,31220,287475,17290,2437,30524,20453,26256,14720,,msa,14720,,2019
"Bremerton-Silverdale-Port Orchard, WA Metro Area",1249,3203,2408,2566,6933,33457,1646,8796,112709,3650335,119442,22404,257272,135347,217237,14740,,msa,14740,,2019
"Brenham, TX Micro Area",885,56,255,263,800,3267,551,3581,16206,304040,14633,3959,32923,16428,28602,14780,,msa,14780,,2019
"Brevard, NC Micro Area",756,293,318,215,632,3495,642,5078,19645,295550,12507,4679,32699,14944,28892,14820,,msa,14820,,2019
"Bridgeport-Stamford-Norwalk, CT Metro Area",1499,8750,6851,10617,31114,112078,6035,32376,372565,13766215,439787,82327,926424,510807,755389,14860,,msa,14860,,2019
"Brookhaven, MS Micro Area",713,132,43,307,485,3131,926,2882,15581,350180,12863,7094,33777,14444,27150,15020,,msa,15020,,2019
