cbsa_code,metric,period,value
10100,commute_minutes,2014,13.866854
10100,commute_minutes,2019,13.281751
10100,commute_minutes,2024,14.335478
10100,gross_rent,2014,587.0
10100,gross_rent,2019,692.0
10100,gross_rent,2024,783.0
10100,labor_force_rate,2014,0.705504
10100,labor_force_rate,2019,0.689676
10100,labor_force_rate,2024,0.673853
10100,poverty_rate,2014,0.102033
10100,poverty_rate,2019,0.099281
10100,poverty_rate,2024,0.11547
10100,rent_burden,2014,0.41039
10100,rent_burden,2019,0.362201
10100,rent_burden,2024,0.451142
10100,vacancy_rate,2014,0.088033
10100,vacancy_rate,2019,0.110884
10100,vacancy_rate,2024,0.103712
10140,commute_minutes,2014,24.476108
10140,commute_minutes,2019,27.116098
10140,commute_minutes,2024,24.331979
10140,gross_rent,2014,732.0
10140,gross_rent,2019,775.0
10140,gross_rent,2024,1062.0
10140,labor_force_rate,2014,0.527842
10140,labor_force_rate,2019,0.514709
10140,labor_force_rate,2024,0.503253
10140,poverty_rate,2014,0.187673
10140,poverty_rate,2019,0.144237
10140,poverty_rate,2024,0.153141
10140,rent_burden,2014,0.485117
10140,rent_burden,2019,0.471604
10140,rent_burden,2024,0.488984
10140,vacancy_rate,2014,0.224097
10140,vacancy_rate,2019,0.208171
10140,vacancy_rate,2024,0.171477
10180,commute_minutes,2014,16.917487
10180,commute_minutes,2019,17.919953
10180,commute_minutes,2024,18.498334
10180,gross_rent,2014,768.0
10180,gross_rent,2019,907.0
10180,gross_rent,2024,1141.0
10180,labor_force_rate,2014,0.592625
10180,labor_force_rate,2019,0.60253
10180,labor_force_rate,2024,0.61359
10180,poverty_rate,2014,0.181105
10180,poverty_rate,2019,0.14651
10180,poverty_rate,2024,0.141978
10180,rent_burden,2014,0.497903
10180,rent_burden,2019,0.461262
10180,rent_burden,2024,0.510631
10180,vacancy_rate,2014,0.140095
10180,vacancy_rate,2019,0.147973
10180,vacancy_rate,2024,0.128115
10220,commute_minutes,2014,17.515102
10220,commute_minutes,2019,17.836132
10220,commute_minutes,2024,17.683946
10220,gross_rent,2014,635.0
10220,gross_rent,2019,707.0
10220,gross_rent,2024,889.0
10220,labor_force_rate,2014,0.622464
10220,labor_force_rate,2019,0.602347
10220,labor_force_rate,2024,0.612812
10220,poverty_rate,2014,0.19246
10220,poverty_rate,2019,0.146964
10220,poverty_rate,2024,0.125742
10220,rent_burden,2014,0.492654
10220,rent_burden,2019,0.376629
10220,rent_burden,2024,0.375903
10220,vacancy_rate,2014,0.121387
10220,vacancy_rate,2019,0.154197
10220,vacancy_rate,2024,0.136729
10260,commute_minutes,2014,29.016867
10260,gross_rent,2014,367.0
10260,labor_force_rate,2014,0.424403
10260,poverty_rate,2014,0.620701
10260,rent_burden,2014,0.629851
10260,vacancy_rate,2014,0.177801
10300,commute_minutes,2014,26.609254
10300,commute_minutes,2019,27.246595
10300,commute_minutes,2024,27.628216
10300,gross_rent,2014,724.0
10300,gross_rent,2019,767.0
10300,gross_rent,2024,987.0
10300,labor_force_rate,2014,0.600757
10300,labor_force_rate,2019,0.586469
10300,labor_force_rate,2024,0.581424
10300,poverty_rate,2014,0.144843
10300,poverty_rate,2019,0.113721
10300,poverty_rate,2024,0.107133
10300,rent_burden,2014,0.526099
10300,rent_burden,2019,0.431756
10300,rent_burden,2024,0.467623
10300,vacancy_rate,2014,0.128456
10300,vacancy_rate,2019,0.124663
10300,vacancy_rate,2024,0.111743
10380,commute_minutes,2014,25.50628
10380,commute_minutes,2019,25.284052
10380,commute_minutes,2024,23.962524
10380,gross_rent,2014,405.0
10380,gross_rent,2019,425.0
10380,gross_rent,2024,528.0
10380,labor_force_rate,2014,0.401471
10380,labor_force_rate,2019,0.391699
10380,labor_force_rate,2024,0.413947
10380,poverty_rate,2014,0.534101
10380,poverty_rate,2019,0.519412
10380,poverty_rate,2024,0.456809
10380,rent_burden,2014,0.58376
10380,rent_burden,2019,0.529408
10380,rent_burden,2024,0.471922
10380,vacancy_rate,2014,0.238935
10380,vacancy_rate,2019,0.256326
10380,vacancy_rate,2024,0.25974
10420,commute_minutes,2014,23.056341
10420,commute_minutes,2019,23.761366
10420,commute_minutes,2024,23.544723
10420,gross_rent,2014,753.0
10420,gross_rent,2019,830.0
10420,gross_rent,2024,1033.0
10420,labor_force_rate,2014,0.654581
10420,labor_force_rate,2019,0.643186
10420,labor_force_rate,2024,0.644178
10420,poverty_rate,2014,0.150052
10420,poverty_rate,2019,0.131215
10420,poverty_rate,2024,0.125581
10420,rent_burden,2014,0.508462
10420,rent_burden,2019,0.476878
10420,rent_burden,2024,0.496208
10420,vacancy_rate,2014,0.099814
10420,vacancy_rate,2019,0.090706
10420,vacancy_rate,2024,0.071208
10460,commute_minutes,2014,20.202691
10460,commute_minutes,2019,19.537885
10460,commute_minutes,2024,22.112071
10460,gross_rent,2014,775.0
10460,gross_rent,2019,792.0
10460,gross_rent,2024,962.0
10460,labor_force_rate,2014,0.551899
10460,labor_force_rate,2019,0.534834
10460,labor_force_rate,2024,0.559871
10460,poverty_rate,2014,0.219603
10460,poverty_rate,2019,0.221045
10460,poverty_rate,2024,0.192636
10460,rent_burden,2014,0.426185
10460,rent_burden,2019,0.484869
10460,rent_burden,2024,0.468056
10460,vacancy_rate,2014,0.228358
10460,vacancy_rate,2019,0.255505
10460,vacancy_rate,2024,0.250115
10480,commute_minutes,2024,18.690978
10480,gross_rent,2024,882.0
10480,labor_force_rate,2024,0.599927
10480,poverty_rate,2024,0.161806
10480,rent_burden,2024,0.3873
10480,vacancy_rate,2024,0.168142
10500,commute_minutes,2014,20.458236
10500,commute_minutes,2019,20.644958
10500,commute_minutes,2024,22.18913
10500,gross_rent,2014,710.0
10500,gross_rent,2019,756.0
10500,gross_rent,2024,950.0
10500,labor_force_rate,2014,0.583108
10500,labor_force_rate,2019,0.584048
10500,labor_force_rate,2024,0.572424
10500,poverty_rate,2014,0.268233
10500,poverty_rate,2019,0.24206
10500,poverty_rate,2024,0.209403
10500,rent_burden,2014,0.578477
10500,rent_burden,2019,0.502166
10500,rent_burden,2024,0.48825
10500,vacancy_rate,2014,0.120848
10500,vacancy_rate,2019,0.146982
10500,vacancy_rate,2024,0.142082
10540,commute_minutes,2014,22.803172
10540,commute_minutes,2019,22.816064
10540,commute_minutes,2024,25.675473
10540,gross_rent,2014,808.0
10540,gross_rent,2019,964.0
10540,gross_rent,2024,1320.0
10540,labor_force_rate,2014,0.580531
10540,labor_force_rate,2019,0.586962
10540,labor_force_rate,2024,0.600326
10540,poverty_rate,2014,0.19492
10540,poverty_rate,2019,0.132691
10540,poverty_rate,2024,0.129833
10540,rent_burden,2014,0.561337
10540,rent_burden,2019,0.48657
10540,rent_burden,2024,0.533605
10540,vacancy_rate,2014,0.082592
10540,vacancy_rate,2019,0.052642
10540,vacancy_rate,2024,0.048504
10580,commute_minutes,2014,22.547987
10580,commute_minutes,2019,23.414293
10580,commute_minutes,2024,23.482212
10580,gross_rent,2014,905.0
10580,gross_rent,2019,1013.0
10580,gross_rent,2024,1280.0
10580,labor_force_rate,2014,0.65928
10580,labor_force_rate,2019,0.64982
10580,labor_force_rate,2024,0.636361
10580,poverty_rate,2014,0.115461
10580,poverty_rate,2019,0.101813
10580,poverty_rate,2024,0.112135
10580,rent_burden,2014,0.481724
10580,rent_burden,2019,0.456189
10580,rent_burden,2024,0.469751
10580,vacancy_rate,2014,0.120742
10580,vacancy_rate,2019,0.134863
10580,vacancy_rate,2024,0.092526
10620,commute_minutes,2014,25.544848
10620,commute_minutes,2019,26.978055
10620,commute_minutes,2024,28.0586
10620,gross_rent,2014,645.0
10620,gross_rent,2019,708.0
10620,gross_rent,2024,861.0
10620,labor_force_rate,2014,0.603038
10620,labor_force_rate,2019,0.613721
10620,labor_force_rate,2024,0.584256
10620,poverty_rate,2014,0.165965
10620,poverty_rate,2019,0.128569
10620,poverty_rate,2024,0.152469
10620,rent_burden,2014,0.542827
10620,rent_burden,2019,0.372875
10620,rent_burden,2024,0.488839
10620,vacancy_rate,2014,0.135919
10620,vacancy_rate,2019,0.16087
10620,vacancy_rate,2024,0.118469
10660,commute_minutes,2014,18.501502
10660,commute_minutes,2019,19.103287
10660,commute_minutes,2024,19.654189
10660,gross_rent,2014,554.0
10660,gross_rent,2019,681.0
10660,gross_rent,2024,849.0
10660,labor_force_rate,2014,0.644693
10660,labor_force_rate,2019,0.640065
10660,labor_force_rate,2024,0.613777
10660,poverty_rate,2014,0.114983
10660,poverty_rate,2019,0.110116
10660,poverty_rate,2024,0.106251
10660,rent_burden,2014,0.408823
10660,rent_burden,2019,0.430158
10660,rent_burden,2024,0.449023
10660,vacancy_rate,2014,0.079668
10660,vacancy_rate,2019,0.093891
10660,vacancy_rate,2024,0.089969
10700,commute_minutes,2014,23.867238
10700,commute_minutes,2019,24.569267
10700,commute_minutes,2024,25.465475
10700,gross_rent,2014,593.0
10700,gross_rent,2019,649.0
10700,gross_rent,2024,795.0
10700,labor_force_rate,2014,0.572782
10700,labor_force_rate,2019,0.550525
10700,labor_force_rate,2024,0.573737
10700,poverty_rate,2014,0.198658
10700,poverty_rate,2019,0.20308
10700,poverty_rate,2024,0.166378
10700,rent_burden,2014,0.434311
10700,rent_burden,2019,0.431118
10700,rent_burden,2024,0.465144
