cbsa_code,metric,period,value
10100,bea_income_per_capita,2014,50548
10100,bea_income_per_capita,2015,51558
10100,bea_income_per_capita,2016,49863
10100,bea_income_per_capita,2017,49511
10100,bea_income_per_capita,2018,53340
10100,bea_income_per_capita,2019,54190
10100,bea_income_per_capita,2020,61640
10100,bea_income_per_capita,2021,72445
10100,bea_income_per_capita,2022,76262
10100,bea_income_per_capita,2023,80778
10100,bea_income_per_capita,2024,80588
10100,bea_personal_income,2014,2127717
10100,bea_personal_income,2015,2177751
10100,bea_personal_income,2016,2123680
10100,bea_personal_income,2017,2127969
10100,bea_personal_income,2018,2274949
10100,bea_personal_income,2019,2297615
10100,bea_personal_income,2020,2602199
10100,bea_personal_income,2021,3053722
10100,bea_personal_income,2022,3204369
10100,bea_personal_income,2023,3369817
10100,bea_personal_income,2024,3346176
10100,bea_population,2014,42093
10100,bea_population,2015,42239
10100,bea_population,2016,42590
10100,bea_population,2017,42980
10100,bea_population,2018,42650
10100,bea_population,2019,42399
10100,bea_population,2020,42216
10100,bea_population,2021,42152
10100,bea_population,2022,42018
10100,bea_population,2023,41717
10100,bea_population,2024,41522
10140,bea_income_per_capita,2014,34285
10140,bea_income_per_capita,2015,34905
10140,bea_income_per_capita,2016,36036
10140,bea_income_per_capita,2017,37527
10140,bea_income_per_capita,2018,38999
10140,bea_income_per_capita,2019,40470
10140,bea_income_per_capita,2020,43613
10140,bea_income_per_capita,2021,47072
10140,bea_income_per_capita,2022,46977
10140,bea_income_per_capita,2023,50155
10140,bea_income_per_capita,2024,53029
10140,bea_personal_income,2014,2425107
10140,bea_personal_income,2015,2476464
10140,bea_personal_income,2016,2575272
10140,bea_personal_income,2017,2716988
10140,bea_personal_income,2018,2872877
10140,bea_personal_income,2019,3031652
10140,bea_personal_income,2020,3308613
10140,bea_personal_income,2021,3617933
10140,bea_personal_income,2022,3621009
10140,bea_personal_income,2023,3890547
10140,bea_personal_income,2024,4130561
10140,bea_population,2014,70734
10140,bea_population,2015,70949
10140,bea_population,2016,71463
10140,bea_population,2017,72400
10140,bea_population,2018,73666
10140,bea_population,2019,74911
10140,bea_population,2020,75863
10140,bea_population,2021,76859
10140,bea_population,2022,77080
10140,bea_population,2023,77570
10140,bea_population,2024,77893
10180,bea_income_per_capita,2014,41441
10180,bea_income_per_capita,2015,39846
10180,bea_income_per_capita,2016,39140
10180,bea_income_per_capita,2017,40357
10180,bea_income_per_capita,2018,42753
10180,bea_income_per_capita,2019,45049
10180,bea_income_per_capita,2020,47875
10180,bea_income_per_capita,2021,52118
10180,bea_income_per_capita,2022,54326
10180,bea_income_per_capita,2023,56571
10180,bea_income_per_capita,2024,58923
10180,bea_personal_income,2014,7042550
10180,bea_personal_income,2015,6840205
10180,bea_personal_income,2016,6745585
10180,bea_personal_income,2017,6982977
10180,bea_personal_income,2018,7444071
10180,bea_personal_income,2019,7896539
10180,bea_personal_income,2020,8470290
10180,bea_personal_income,2021,9272744
10180,bea_personal_income,2022,9782641
10180,bea_personal_income,2023,10343328
10180,bea_personal_income,2024,10858165
10180,bea_population,2014,169942
10180,bea_population,2015,171666
10180,bea_population,2016,172344
10180,bea_population,2017,173029
10180,bea_population,2018,174118
10180,bea_population,2019,175288
10180,bea_population,2020,176926
10180,bea_population,2021,177918
10180,bea_population,2022,180072
10180,bea_population,2023,182838
10180,bea_population,2024,184278
10220,bea_income_per_capita,2014,38693
10220,bea_income_per_capita,2015,38788
10220,bea_income_per_capita,2016,39231
10220,bea_income_per_capita,2017,40999
10220,bea_income_per_capita,2018,42891
10220,bea_income_per_capita,2019,45106
10220,bea_income_per_capita,2020,48095
10220,bea_income_per_capita,2021,51650
10220,bea_income_per_capita,2022,53239
10220,bea_income_per_capita,2023,56001
10220,bea_income_per_capita,2024,60182
10220,bea_personal_income,2014,1476457
10220,bea_personal_income,2015,1480795
10220,bea_personal_income,2016,1502621
10220,bea_personal_income,2017,1562884
10220,bea_personal_income,2018,1632762
10220,bea_personal_income,2019,1716781
10220,bea_personal_income,2020,1832120
10220,bea_personal_income,2021,1972508
10220,bea_personal_income,2022,2027014
10220,bea_personal_income,2023,2156387
10220,bea_personal_income,2024,2305566
10220,bea_population,2014,38158
10220,bea_population,2015,38177
10220,bea_population,2016,38302
10220,bea_population,2017,38120
10220,bea_population,2018,38068
10220,bea_population,2019,38061
10220,bea_population,2020,38094
10220,bea_population,2021,38190
10220,bea_population,2022,38074
10220,bea_population,2023,38506
10220,bea_population,2024,38310
10300,bea_income_per_capita,2014,33713
10300,bea_income_per_capita,2015,35564
10300,bea_income_per_capita,2016,36489
10300,bea_income_per_capita,2017,37030
10300,bea_income_per_capita,2018,38923
10300,bea_income_per_capita,2019,40119
10300,bea_income_per_capita,2020,44165
10300,bea_income_per_capita,2021,47826
10300,bea_income_per_capita,2022,48526
10300,bea_income_per_capita,2023,51181
10300,bea_income_per_capita,2024,53030
10300,bea_personal_income,2014,3349691
10300,bea_personal_income,2015,3526321
10300,bea_personal_income,2016,3629028
10300,bea_personal_income,2017,3684915
10300,bea_personal_income,2018,3863269
10300,bea_personal_income,2019,4003666
10300,bea_personal_income,2020,4386378
10300,bea_personal_income,2021,4739808
10300,bea_personal_income,2022,4769368
10300,bea_personal_income,2023,4996348
10300,bea_personal_income,2024,5183425
10300,bea_population,2014,99360
10300,bea_population,2015,99155
10300,bea_population,2016,99456
10300,bea_population,2017,99511
10300,bea_population,2018,99255
10300,bea_population,2019,99794
10300,bea_population,2020,99318
