series_id,cbsa_code,year,period,value
LAUDV061124400000003,11244,1990,M01,2.9
LAUDV061124400000003,11244,1990,M02,2.8
LAUDV061124400000003,11244,1990,M03,2.7
LAUDV061124400000003,11244,1990,M04,2.9
LAUDV061124400000003,11244,1990,M05,3.1
LAUDV061124400000003,11244,1990,M06,3.4
LAUDV061124400000003,11244,1990,M07,3.8
LAUDV061124400000003,11244,1990,M08,3.8
LAUDV061124400000003,11244,1990,M09,4.1
LAUDV061124400000003,11244,1990,M10,4.0
LAUDV061124400000003,11244,1990,M11,4.2
LAUDV061124400000003,11244,1990,M12,4.1
LAUDV061124400000003,11244,1990,M13,3.5
LAUDV061124400000003,11244,1991,M01,4.8
LAUDV061124400000003,11244,1991,M02,5.1
LAUDV061124400000003,11244,1991,M03,5.0
LAUDV061124400000003,11244,1991,M04,4.9
LAUDV061124400000003,11244,1991,M05,5.2
LAUDV061124400000003,11244,1991,M06,5.7
LAUDV061124400000003,11244,1991,M07,5.8
LAUDV061124400000003,11244,1991,M08,5.6
LAUDV061124400000003,11244,1991,M09,5.6
LAUDV061124400000003,11244,1991,M10,5.6
LAUDV061124400000003,11244,1991,M11,5.4
LAUDV061124400000003,11244,1991,M12,5.3
LAUDV061124400000003,11244,1991,M13,5.3
LAUDV061124400000003,11244,1992,M01,6.1
LAUDV061124400000003,11244,1992,M02,6.2
LAUDV061124400000003,11244,1992,M03,6.2
LAUDV061124400000003,11244,1992,M04,6.2
LAUDV061124400000003,11244,1992,M05,6.4
LAUDV061124400000003,11244,1992,M06,7.1
LAUDV061124400000003,11244,1992,M07,7.3
LAUDV061124400000003,11244,1992,M08,7.2
LAUDV061124400000003,11244,1992,M09,7.3
LAUDV061124400000003,11244,1992,M10,6.9
LAUDV061124400000003,11244,1992,M11,7.0
LAUDV061124400000003,11244,1992,M12,6.7
LAUDV061124400000003,11244,1992,M13,6.7
LAUDV061124400000003,11244,1993,M01,7.2
LAUDV061124400000003,11244,1993,M02,7.0
LAUDV061124400000003,11244,1993,M03,6.9
LAUDV061124400000003,11244,1993,M04,6.7
LAUDV061124400000003,11244,1993,M05,6.7
