cbsa_code,metric,period,value
10180,fmr_2br,2019,822.0
10180,fmr_2br,2024,1117.0
10180,fmr_2br,2027,1310.0
10420,fmr_2br,2019,810.0
10420,fmr_2br,2024,1039.0
10420,fmr_2br,2027,1231.0
10500,fmr_2br,2019,682.0
10500,fmr_2br,2024,997.0
10500,fmr_2br,2027,1103.0
10540,fmr_2br,2019,1006.0
10540,fmr_2br,2024,1384.0
10540,fmr_2br,2027,1726.0
10580,fmr_2br,2019,1115.0
10580,fmr_2br,2024,1374.0
10580,fmr_2br,2027,1711.0
10740,fmr_2br,2019,877.0
10740,fmr_2br,2024,1222.0
10740,fmr_2br,2027,1384.0
10780,fmr_2br,2019,777.0
10780,fmr_2br,2024,995.0
10780,fmr_2br,2027,995.0
10900,fmr_2br,2019,1150.0
10900,fmr_2br,2024,1440.0
10900,fmr_2br,2027,1862.0
11020,fmr_2br,2019,796.0
11020,fmr_2br,2024,993.0
11020,fmr_2br,2027,1151.0
11100,fmr_2br,2019,850.0
11100,fmr_2br,2024,1081.0
11100,fmr_2br,2027,1107.0
11180,fmr_2br,2019,875.0
11180,fmr_2br,2024,1005.0
11180,fmr_2br,2027,1041.0
11200,fmr_2br,2019,1061.0
11200,fmr_2br,2024,1375.0
11200,fmr_2br,2027,2034.0
11244,fmr_2br,2019,2037.0
11244,fmr_2br,2024,2783.0
11244,fmr_2br,2027,3057.0
11260,fmr_2br,2019,1247.0
11260,fmr_2br,2024,1405.0
11260,fmr_2br,2027,1463.0
11460,fmr_2br,2019,1140.0
11460,fmr_2br,2024,1471.0
11460,fmr_2br,2027,1804.0
11500,fmr_2br,2019,676.0
11500,fmr_2br,2024,903.0
11500,fmr_2br,2027,1010.0
11540,fmr_2br,2019,774.0
11540,fmr_2br,2024,983.0
11540,fmr_2br,2027,1256.0
11694,fmr_2br,2019,1629.0
11694,fmr_2br,2024,2000.0
11694,fmr_2br,2027,2388.0
11700,fmr_2br,2019,993.0
11700,fmr_2br,2024,1680.0
11700,fmr_2br,2027,1866.0
12020,fmr_2br,2019,785.0
12020,fmr_2br,2024,1169.0
12020,fmr_2br,2027,1285.0
12054,fmr_2br,2019,1100.0
12054,fmr_2br,2024,1830.0
12054,fmr_2br,2027,1748.0
12100,fmr_2br,2019,1259.0
12100,fmr_2br,2024,1644.0
12100,fmr_2br,2027,1888.0
12220,fmr_2br,2019,797.0
12220,fmr_2br,2024,1080.0
12220,fmr_2br,2027,1249.0
12260,fmr_2br,2019,834.0
12260,fmr_2br,2024,1097.0
12260,fmr_2br,2027,1325.0
12420,fmr_2br,2019,1315.0
12420,fmr_2br,2024,1924.0
12420,fmr_2br,2027,1817.0
12540,fmr_2br,2019,926.0
12540,fmr_2br,2024,1258.0
12540,fmr_2br,2027,1656.0
12580,fmr_2br,2019,1342.0
12580,fmr_2br,2024,1943.0
12580,fmr_2br,2027,2006.0
12620,fmr_2br,2019,951.0
12620,fmr_2br,2024,1165.0
12620,fmr_2br,2027,1637.0
12700,fmr_2br,2019,1524.0
12700,fmr_2br,2024,2082.0
12700,fmr_2br,2027,2488.0
12940,fmr_2br,2019,966.0
12940,fmr_2br,2024,1258.0
12940,fmr_2br,2027,1135.0
12980,fmr_2br,2019,757.0
12980,fmr_2br,2024,1038.0
12980,fmr_2br,2027,1233.0
13020,fmr_2br,2019,771.0
13020,fmr_2br,2024,937.0
13020,fmr_2br,2027,1055.0
13140,fmr_2br,2019,920.0
13140,fmr_2br,2024,1126.0
13140,fmr_2br,2027,1218.0
13220,fmr_2br,2019,705.0
13220,fmr_2br,2024,907.0
13220,fmr_2br,2027,968.0
13380,fmr_2br,2019,1058.0
13380,fmr_2br,2024,1571.0
13380,fmr_2br,2027,1872.0
13460,fmr_2br,2019,1004.0
13460,fmr_2br,2024,1525.0
13460,fmr_2br,2027,1775.0
13740,fmr_2br,2019,890.0
13740,fmr_2br,2024,1142.0
13740,fmr_2br,2027,1424.0
13780,fmr_2br,2019,830.0
13780,fmr_2br,2024,1141.0
13780,fmr_2br,2027,1219.0
13820,fmr_2br,2019,852.0
13820,fmr_2br,2024,1209.0
13820,fmr_2br,2027,1339.0
13900,fmr_2br,2019,863.0
13900,fmr_2br,2024,955.0
13900,fmr_2br,2027,1067.0
13980,fmr_2br,2019,808.0
13980,fmr_2br,2024,1132.0
13980,fmr_2br,2027,1216.0
14010,fmr_2br,2024,1103.0
14010,fmr_2br,2027,1287.0
14020,fmr_2br,2019,918.0
14020,fmr_2br,2024,1096.0
14020,fmr_2br,2027,1220.0
14260,fmr_2br,2019,870.0
14260,fmr_2br,2024,1380.0
14260,fmr_2br,2027,1528.0
14454,fmr_2br,2019,1846.0
14454,fmr_2br,2024,2713.0
14454,fmr_2br,2027,2929.0
14500,fmr_2br,2019,1516.0
14500,fmr_2br,2024,2217.0
14500,fmr_2br,2027,2033.0
14540,fmr_2br,2019,754.0
14540,fmr_2br,2024,1070.0
14540,fmr_2br,2027,1159.0
14580,fmr_2br,2019,898.0
14580,fmr_2br,2024,1275.0
14580,fmr_2br,2027,2109.0
14740,fmr_2br,2019,1204.0
14740,fmr_2br,2024,2049.0
14740,fmr_2br,2027,1967.0
14860,fmr_2br,2019,1593.0
14860,fmr_2br,2024,2278.0
14860,fmr_2br,2027,2399.0
15180,fmr_2br,2019,718.0
15180,fmr_2br,2024,965.0
15180,fmr_2br,2027,1042.0
15260,fmr_2br,2019,793.0
15260,fmr_2br,2024,1137.0
15260,fmr_2br,2027,1378.0
15380,fmr_2br,2019,838.0
15380,fmr_2br,2024,1163.0
15380,fmr_2br,2027,1423.0
15500,fmr_2br,2019,812.0
15500,fmr_2br,2024,1215.0
15500,fmr_2br,2027,1348.0
15540,fmr_2br,2019,1341.0
15540,fmr_2br,2024,1887.0
15540,fmr_2br,2027,2165.0
15764,fmr_2br,2019,1781.0
15764,fmr_2br,2024,2601.0
15764,fmr_2br,2027,2843.0
15804,fmr_2br,2019,1200.0
15804,fmr_2br,2024,1737.0
15804,fmr_2br,2027,1860.0
15940,fmr_2br,2019,775.0
15940,fmr_2br,2024,905.0
15940,fmr_2br,2027,1049.0
15980,fmr_2br,2019,1039.0
15980,fmr_2br,2024,1677.0
15980,fmr_2br,2027,1835.0
16020,fmr_2br,2019,748.0
16020,fmr_2br,2024,933.0
16020,fmr_2br,2027,1012.0
16180,fmr_2br,2019,862.0
